Entity,Code,Year,Coal per capita (kWh),Oil per capita (kWh),Gas per capita (kWh)
Ecuador,ECU,1970,0,2121.741455078125,114.97064971923828
Ecuador,ECU,1971,0,2278.13671875,111.69408416748047
Ecuador,ECU,1972,0,2275.73388671875,157.37294006347656
Ecuador,ECU,1973,0,2461.762939453125,87.90840148925781
Ecuador,ECU,1974,0,2726.083740234375,170.94717407226562
Ecuador,ECU,1975,0,2594.610107421875,207.84689331054688
Ecuador,ECU,1976,0,2853.43994140625,184.45436096191406
Ecuador,ECU,1977,0,3466.336669921875,114.98143768310547
Ecuador,ECU,1978,0,3451.793701171875,115.03678894042969
Ecuador,ECU,1979,0,3580.8388671875,80.68011474609375
Ecuador,ECU,1980,0,4474.94970703125,61.14020538330078
Ecuador,ECU,1981,0,4874.65673828125,96.47157287597656
Ecuador,ECU,1982,0,5189.7236328125,121.70196533203125
Ecuador,ECU,1983,0,4635.828125,146.98313903808594
Ecuador,ECU,1984,0,4544.02099609375,206.4700164794922
Ecuador,ECU,1985,0,5450.14013671875,205.24810791015625
Ecuador,ECU,1986,0,5401.48779296875,198.99635314941406
Ecuador,ECU,1987,0,5317.0341796875,180.75765991210938
Ecuador,ECU,1988,0,6128.68212890625,206.239990234375
Ecuador,ECU,1989,0,6225.591796875,159.4606475830078
Ecuador,ECU,1990,0.31223398447036743,6218.0625,255.7685089111328
Ecuador,ECU,1991,0.6153696775436401,6800.0087890625,306.5063171386719
Ecuador,ECU,1992,0.4328884184360504,6629.85693359375,300.62249755859375
Ecuador,ECU,1993,0.07425004243850708,6508.2685546875,338.4558410644531
Ecuador,ECU,1994,0.3544095754623413,6919.689453125,298.8437194824219
Ecuador,ECU,1995,0.3467613160610199,6662.5966796875,282.24200439453125
Ecuador,ECU,1996,0.42248764634132385,7324.53662109375,293.1556396484375
Ecuador,ECU,1997,0.5252729654312134,8180.17431640625,261.7647399902344
Ecuador,ECU,1998,0.7560160160064697,8067.39892578125,261.2315673828125
Ecuador,ECU,1999,0.9666991829872131,6911.7412109375,241.1600799560547
Ecuador,ECU,2000,1.2704797983169556,6177.55615234375,257.708251953125
Ecuador,ECU,2001,1.6131539344787598,6300.1162109375,257.55072021484375
Ecuador,ECU,2002,1.7118772268295288,6147.587890625,100.75023651123047
Ecuador,ECU,2003,65.93280029296875,6177.4833984375,172.843017578125
Ecuador,ECU,2004,1.5424846410751343,6419.9228515625,395.6123046875
Ecuador,ECU,2005,1.77204430103302,6881.41748046875,399.4476623535156
Ecuador,ECU,2006,4.479255676269531,7172.244140625,429.20953369140625
Ecuador,ECU,2007,1.7583879232406616,7169.767578125,382.4913635253906
Ecuador,ECU,2008,19.919673919677734,7264.8583984375,343.1483154296875
Ecuador,ECU,2009,4.684638500213623,7268.8623046875,397.8966369628906
Ecuador,ECU,2010,7.727570056915283,8268.98828125,412.2959899902344
Ecuador,ECU,2011,7.136158466339111,8350.59375,367.8565979003906
Ecuador,ECU,2012,8.439532279968262,8515.75390625,484.01434326171875
Ecuador,ECU,2013,9.320157051086426,8889.1357421875,541.89599609375
Ecuador,ECU,2014,8.684199333190918,9219.5283203125,546.9917602539062
Ecuador,ECU,2015,9.252016067504883,8799.646484375,506.4347839355469
Ecuador,ECU,2016,5.335735321044922,8128.07177734375,537.4464111328125
Ecuador,ECU,2017,5.64046573638916,7796.89306640625,490.4495544433594
Ecuador,ECU,2018,18.969850540161133,8294.154296875,425.8121032714844
Ecuador,ECU,2019,5.728644371032715,7903.49365234375,373.8922424316406
Ecuador,ECU,2020,15.911827087402344,6261.85888671875,312.77423095703125
Ecuador,ECU,2021,30.737558364868164,7644.27685546875,307.3133544921875
Egypt,EGY,1965,154.0067138671875,2674.52197265625,15.49714469909668
Egypt,EGY,1966,102.01232147216797,2795.9892578125,17.254846572875977
Egypt,EGY,1967,153.1002655029297,2224.903564453125,16.814058303833008
Egypt,EGY,1968,155.2701416015625,2268.72119140625,16.392019271850586
Egypt,EGY,1969,163.5640411376953,1643.1312255859375,20.276308059692383
Egypt,EGY,1970,147.2541961669922,2076.439208984375,23.704248428344727
Egypt,EGY,1971,118.10942077636719,2097.8134765625,23.168529510498047
Egypt,EGY,1972,102.2275390625,2344.767822265625,18.928653717041016
Egypt,EGY,1973,87.1266098022461,2156.624755859375,14.869275093078613
Egypt,EGY,1974,148.85743713378906,2327.359375,15.314993858337402
Egypt,EGY,1975,174.02369689941406,2516.6015625,12.484067916870117
Egypt,EGY,1976,166.44320678710938,2910.46630859375,92.77642059326172
Egypt,EGY,1977,185.56051635742188,3040.845703125,109.78291320800781
Egypt,EGY,1978,173.69036865234375,3069.55322265625,172.5590362548828
Egypt,EGY,1979,188.13873291015625,3287.152099609375,255.042724609375
Egypt,EGY,1980,147.82315063476562,3585.68212890625,484.4828796386719
Egypt,EGY,1981,185.84011840820312,4035.093505859375,528.9400634765625
Egypt,EGY,1982,187.24000549316406,4474.14404296875,564.3203125
Egypt,EGY,1983,173.08255004882812,4784.55517578125,644.7112426757812
Egypt,EGY,1984,170.97576904296875,5039.60302734375,806.62060546875
Egypt,EGY,1985,175.79908752441406,4987.705078125,963.306396484375
Egypt,EGY,1986,172.06541442871094,4869.5263671875,1080.3843994140625
Egypt,EGY,1987,177.1587677001953,5009.486328125,1162.5894775390625
Egypt,EGY,1988,188.5548095703125,4852.0517578125,1247.30224609375
Egypt,EGY,1989,188.08151245117188,4902.701171875,1359.7242431640625
Egypt,EGY,1990,157.2725830078125,4905.90478515625,1383.70849609375
Egypt,EGY,1991,158.23626708984375,4712.7841796875,1521.9100341796875
Egypt,EGY,1992,158.66110229492188,4428.771484375,1611.08984375
Egypt,EGY,1993,187.24444580078125,4061.2587890625,1814.713623046875
Egypt,EGY,1994,197.5120849609375,4156.38671875,1890.4735107421875
Egypt,EGY,1995,129.5316925048828,4417.759765625,1945.5665283203125
Egypt,EGY,1996,174.48208618164062,4576.8701171875,1967.32373046875
Egypt,EGY,1997,144.7379913330078,4735.94580078125,1987.5247802734375
Egypt,EGY,1998,139.5782470703125,4885.35546875,1991.873046875
Egypt,EGY,1999,124.40485382080078,4900.50634765625,2337.978515625
Egypt,EGY,2000,146.89828491210938,4703.64697265625,2796.68212890625
Egypt,EGY,2001,126.79019927978516,4358.12890625,3361.4189453125
Egypt,EGY,2002,133.48419189453125,4254.9931640625,3568.0537109375
Egypt,EGY,2003,135.85853576660156,4282.50341796875,3925.275146484375
Egypt,EGY,2004,136.33860778808594,4427.50927734375,4113.57666015625
Egypt,EGY,2005,131.00608825683594,4603.9140625,4027.21875
Egypt,EGY,2006,128.77713012695312,4388.1171875,4569.9970703125
Egypt,EGY,2007,115.03085327148438,4656.4892578125,4719.48046875
Egypt,EGY,2008,101.69054412841797,4842.24267578125,4936.01611328125
Egypt,EGY,2009,88.71389770507812,4975.1865234375,5046.50927734375
Egypt,EGY,2010,65.20487213134766,5021.6044921875,5246.220703125
Egypt,EGY,2011,60.64604187011719,4906.31298828125,5650.0263671875
