"Time (s)";"Acceleration x (m/s^2)";"Acceleration y (m/s^2)";"Acceleration z (m/s^2)";"Absolute acceleration (m/s^2)"
2.691375542E0;1.455573120E0;-2.345472565E0;-1.001971390E1;1.039300732E1
2.701416542E0;1.621877289E0;-1.901795197E0;-1.005279510E1;1.035886096E1
2.711457542E0;1.785936127E0;-1.266216888E0;-9.803264008E0;1.004474282E1
2.721499542E0;1.842368774E0;-6.291416931E-1;-9.965376892E0;1.015376179E1
2.731540542E0;2.285597076E0;7.963439941E-2;-1.071007828E1;1.095153288E1
2.741581541E0;2.499951324E0;9.445358276E-2;-1.099254089E1;1.127362557E1
2.751622542E0;2.332449646E0;-6.584806824E-1;-1.093266541E1;1.119808426E1
2.761664542E0;1.797761536E0;-1.319655762E0;-1.043539948E1;1.067103557E1
2.771705542E0;1.365610199E0;-1.295406189E0;-9.599986725E0;9.782776371E0
2.781746542E0;1.301992493E0;-7.002438354E-1;-9.936037903E0;1.004541563E1
2.791788542E0;6.451583862E-1;-3.616479492E-1;-1.054676788E1;1.057266907E1
2.801829542E0;3.141966248E-1;-6.566844177E-1;-1.076860657E1;1.079318495E1
2.811870542E0;4.104464722E-1;-9.397457886E-1;-1.042941193E1;1.047970522E1
2.821912542E0;4.050576782E-1;-1.099912720E0;-1.010892838E1;1.017665528E1
2.831954000E0;4.785548401E-1;-1.246757355E0;-9.581125946E0;9.673747621E0
2.841995000E0;7.316784668E-1;-1.145418091E0;-9.820029144E0;9.913642538E0
2.852037000E0;1.352437592E0;-1.150956573E0;-9.223519592E0;9.392928305E0
2.862078000E0;2.463277588E0;-9.725276184E-1;-9.142088928E0;9.517948120E0
2.872119000E0;3.284469910E0;-6.997947693E-1;-9.479187927E0;1.005646355E1
2.882160000E0;3.347638550E0;-5.346881104E-1;-9.783205719E0;1.035392145E1
2.892202000E0;2.983595581E0;-4.555027771E-1;-1.007225464E1;1.051473437E1
2.902243000E0;2.718047791E0;-4.288581848E-1;-9.646539917E0;1.003132272E1
2.912284000E0;2.493365021E0;-3.516188049E-1;-9.728269958E0;1.004886766E1
2.922326000E0;2.437082062E0;-4.336482239E-1;-1.021445892E1;1.051011850E1
2.932367000E0;1.932631073E0;-6.243516541E-1;-1.004546036E1;1.024871463E1
2.942408000E0;1.276994476E0;-8.963360596E-1;-9.744286652E0;9.868396809E0
2.952450000E0;1.131347351E0;-1.232387238E0;-9.584119720E0;9.729032632E0
2.962491000E0;9.270222473E-1;-1.200952606E0;-9.858050079E0;9.974106916E0
2.972532000E0;7.077282715E-1;-9.377998352E-1;-1.019080811E1;1.025830969E1
2.982573000E0;1.260379028E0;-6.099815369E-1;-1.035127441E1;1.044555000E1
2.992615000E0;1.387614441E0;-4.156855774E-1;-9.810299377E0;9.916664873E0
3.002656000E0;1.130748596E0;-5.539979553E-1;-9.363628235E0;9.447911930E0
3.012697000E0;1.091081085E0;-7.795788574E-1;-9.558822327E0;9.652423810E0
3.022739000E0;7.881111145E-1;-1.114432526E0;-9.768685913E0;9.863584716E0
3.032780000E0;5.899232483E-1;-1.221010895E0;-1.008572662E1;1.017648066E1
3.042821000E0;8.381071472E-1;-1.339115295E0;-1.022463776E1;1.034595914E1
3.052863000E0;1.093775482E0;-1.297950897E0;-1.004830444E1;1.019065472E1
3.062904000E0;1.263672180E0;-5.134323120E-1;-1.042282562E1;1.051169701E1
3.072945000E0;6.770420837E-1;-4.730163574E-2;-9.359886017E0;9.384460010E0
3.082986000E0;6.893165588E-1;2.920426941E-1;-9.802365875E0;9.830911606E0
3.093028000E0;8.443940735E-1;5.269042969E-1;-1.032612671E1;1.037398295E1
3.103069000E0;9.584568787E-1;1.856140137E-1;-1.032941986E1;1.037545213E1
3.113110000E0;2.180216217E0;-4.661306763E-1;-9.892478485E0;1.014059915E1
3.123152000E0;1.848805389E0;-9.488768005E-1;-9.653425598E0;9.874567045E0
3.133193000E0;8.086184692E-1;-5.010081482E-1;-9.630672913E0;9.677537587E0
3.143234000E0;7.460485840E-1;-1.218466187E-1;-1.000938538E1;1.003788975E1
3.153276000E0;3.995191956E-1;-2.562670898E-1;-1.009949799E1;1.011064528E1
3.163317000E0;6.447093201E-1;-5.117857361E-1;-9.860894165E0;9.895191180E0
3.173358000E0;1.009650421E0;-6.577322388E-1;-9.652826843E0;9.727747516E0
3.183399000E0;7.189549255E-1;-3.487747192E-1;-9.736353149E0;9.769089653E0
3.193441000E0;5.505551147E-1;-3.888912964E-1;-9.774074707E0;9.797289613E0
3.203482000E0;5.698649597E-1;-5.149291992E-1;-9.739646301E0;9.769882713E0
3.213523000E0;4.299060059E-1;-3.103047180E-1;-9.851164398E0;9.865421846E0
3.223565000E0;3.248245239E-1;-3.177891541E-1;-9.917027435E0;9.927433408E0
3.233606000E0;2.270777893E-1;-3.805087280E-1;-9.934840393E0;9.944717434E0
3.243647000E0;1.781295776E-1;-3.591032410E-1;-9.899364166E0;9.907476782E0
